id_local,rotulo,calle,n_platos,precio_medio,precio_mediana,estrellas,n_opiniones
100000907,TACO BELL,JUAN ANTON                                        ,17,502.29411764705884,315.0,41.0,326
10000105,LA MORDIDA,BELEN                                             ,21,170.52380952380952,149.0,44.0,2731
10000959,TAKO MAMA,,13,27.384615384615383,15.0,43.0,5403
10001319,TACO BELL,MONTERA                                           ,17,502.29411764705884,315.0,41.0,8237
10002297,TACO BELL,ARENAL                                            ,17,502.29411764705884,315.0,38.0,701
10003246,TAQUERIA MI CIUDAD,FUENTES                                           ,19,21.57894736842105,12.0,44.0,1838
10003433,TACO BELL,MAYOR                                             ,17,502.29411764705884,315.0,42.0,1021
110002643,LA TACOTECA,MARQUES DE VADILLO                                ,15,11.733333333333333,7.0,39.0,138
120000031,ALAMILLO TACO BAR,DEVA                                              ,22,39.95454545454545,14.0,49.0,181
200001961,TACO BELL,ALCALA                                            ,17,502.29411764705884,315.0,43.0,748
20001049,TAQUERIA MARIA BONITA,SEGOVIA                                           ,20,156.35,10.0,42.0,1050
270049103,LA TAQUERIA DE BIRRA,COMENDADORAS                                      ,16,169.0,98.5,4.0,1163
270049509,MARIA BONITA TACO BAR,DUQUE DE LIRIA                                    ,23,26.304347826086957,10.0,43.0,725
270049679,MAMBA MEXICAN CANTINA,NOVICIADO                                         ,18,26.833333333333332,27.0,45.0,281
270062957,TAQUERIA POLANCO & CO,IBIZA                                             ,18,79.5,92.0,44.0,456
270080421,TAQUERIA LA MEXICANA,DON RAMON DE LA CRUZ                              ,22,39.59090909090909,32.0,45.0,339
270110554,TIKI TACO,GENERAL MARTINEZ CAMPOS                           ,15,50.666666666666664,26.0,37.0,1874
270112012,TACO BELL,FERNANDEZ DE LOS RIOS                             ,17,502.29411764705884,315.0,41.0,2376
270115526,TACOS DON PEDRO,RODRIGUEZ SAN PEDRO                               ,11,10.909090909090908,12.0,45.0,567
270123968,COMETE MEXICO,RIOS ROSAS                                        ,24,84.83333333333333,70.0,44.0,1393
