id_terraza,id_local,id_distrito_local,desc_distrito_local,id_barrio_local,desc_barrio_local,TIPO_DE_VIA,NOMBRE_VIA,NUMERO_VIA,COD_POSTAL,coordenada_x_local,coordenada_y_local,Latitud,Longitud,NOMBRE_COMERCIAL,id_periodo_terraza,desc_periodo_terraza,lat_num,lon_num
38,180000265,18,VILLA DE VALLECAS   ,1801,CASCO H.VALLECAS    ,CALLE                   ,SAN JAIME                                         ,54,28031,446848.53,4470150.5,40.3802472641,-3.6261613968,BAR PETER,1,Anual,40.3802472641,-3.6261613968
50,180000457,18,VILLA DE VALLECAS   ,1801,CASCO H.VALLECAS    ,PLAZA                   ,JUAN DE MALASAÑA                                  ,5,28031,447240.53,4470141.5,40.3801910977,-3.6215428767,LA CHOZA DE DAVID,1,Anual,40.3801910977,-3.6215428767
58,270075832,4,SALAMANCA           ,403,FUENTE DEL BERRO    ,CALLE                   ,ALCALA                                            ,172,28028,443481.6,4475598.5,40.4291043437,-3.6663074961,CAFETERIA DAVID,2,Estacional,40.4291043437,-3.6663074961
65,270445586,20,SAN BLAS-CANILLEJAS ,2004,ARCOS               ,AVENIDA                 ,GUADALAJARA                                       ,35,28032,447380.56,4474529.5,40.4197299069,-3.6202560070,BURGOS CERVECERIA,1,Anual,40.4197299069,-3.620256007
73,280060978,18,VILLA DE VALLECAS   ,1803,ENSANCHE DE VALLECAS,AVENIDA                 ,ENSANCHE DE VALLECAS                              ,44,28051,448326.53,4468742.5,40.3676559653,-3.6086363336,RESTAURANTE 40 & CUATRO,1,Anual,40.3676559653,-3.6086363336
81,170000259,17,VILLAVERDE          ,1705,LOS ANGELES         ,PASEO                   ,TALLERES                                          ,2,28021,440572.53,4466762.5,40.3493023157,-3.6997763962,PEÑA DE FRANCIA,1,Anual,40.3493023157,-3.6997763962
83,170002005,17,VILLAVERDE          ,1705,LOS ANGELES         ,CALLE                   ,LA DEL MANOJO DE ROSAS                            ,102,28041,440665.53,4467317.5,40.3543086989,-3.6987329728,EL KUBO,1,Anual,40.3543086989,-3.6987329728
88,180000366,18,VILLA DE VALLECAS   ,1802,SANTA EUGENIA       ,CALLE                   ,CASTRILLO DE AZA                                  ,9,28031,448357.53,4470622.5,40.3845942550,-3.6084235431,EL JARDIN DEL BACO,1,Anual,40.384594255,-3.6084235431
37,270184111,18,VILLA DE VALLECAS   ,1801,CASCO H.VALLECAS    ,CALLE                   ,SIERRA GADOR                                      ,41,28031,447209.53,4470130.5,40.3800900389,-3.6219071464,LOS MANCHEGOS,1,Anual,40.3800900389,-3.6219071464
42,40002970,4,SALAMANCA           ,403,FUENTE DEL BERRO    ,CALLE                   ,ALCALA                                            ,200,28028,443685.6,4475723.5,40.4302442446,-3.6639137237,VIPS,1,Anual,40.4302442446,-3.6639137237
44,40001459,4,SALAMANCA           ,404,GUINDALERA          ,AVENIDA                 ,AMERICA                                           ,32,28028,442926.6,4476681.5,40.4388226591,-3.6729473408,HOTEL ABBA MADRID,2,Estacional,40.4388226591,-3.6729473408
