cod_distrito,cod_barrio,pop_esp_20_44,pop_ext_20_44,pop_total_20_44,foreign_ratio_20_44,mex_affinity_proxy
1,1,5837,3572,9409,0.37963651822722927,0.38446612130549385
1,2,11695,11426,23121,0.4941827775615242,0.6376633076847223
1,3,2642,2089,4731,0.4415556964700909,0.36878363759635835
1,4,4561,3448,8009,0.43051566987139467,0.40241665531643656
1,5,8981,6483,15464,0.41923176409725815,0.48858336541989766
1,6,1729,2050,3779,0.5424715533209844,0.4274126243368021
2,1,6289,1824,8113,0.22482435597189696,0.2597449832314719
2,2,9661,2218,11879,0.18671605353986026,0.2805876775855738
2,3,5550,2024,7574,0.2672299973593874,0.28262795642882554
2,4,5576,1078,6654,0.1620078148482116,0.19736408412187734
2,5,8018,2652,10670,0.24854732895970008,0.3086146915100134
2,6,7092,3061,10153,0.301487245149217,0.33914924791669954
2,7,739,397,1136,0.3494718309859155,0.25896406365514757
3,1,8610,2618,11228,0.23316708229426433,0.3048892321685691
3,2,4985,1158,6143,0.18850724401758098,0.2094660062093457
3,3,5028,822,5850,0.14051282051282052,0.17217290437243332
3,4,4994,2090,7084,0.2950310559006211,0.29590599215869856
3,5,1518,533,2051,0.2598732325694783,0.20779030048369537
3,6,3507,592,4099,0.14442546962673822,0.15281805081139507
4,1,3264,1817,5081,0.357606770320803,0.3144356073268501
4,2,7230,3739,10969,0.34086972376697966,0.3770130798535748
4,3,5490,2124,7614,0.2789598108747045,0.2913435365221182
4,4,11151,4209,15360,0.2740234375,0.38562528915713323
4,5,5202,2658,7860,0.3381679389312977,0.33589319655204297
4,6,3827,2379,6206,0.38333870447953594,0.346642947779013
5,1,4492,1216,5708,0.2130343377715487,0.2211462437079172
5,2,9633,3203,12836,0.24953256466188845,0.33663443725524655
5,3,4777,1808,6585,0.27456340167046317,0.275282369056269
5,4,8192,1586,9778,0.16220085907138473,0.236917115481867
5,5,6197,1608,7805,0.2060217809096733,0.24269690881712125
5,6,4756,1472,6228,0.2363519588953115,0.24402981671796972
6,1,7720,5077,12797,0.3967336094397124,0.4391830757329669
6,2,9730,4174,13904,0.3002013808975834,0.38557838250986964
6,3,5921,2531,8452,0.2994557501183152,0.316264381745001
6,4,6342,3301,9643,0.3423208545058592,0.3612977139010731
6,5,7350,4932,12282,0.40156326331216413,0.4360656840493359
6,6,6638,4691,11329,0.41407008562097275,0.4327957288445059
7,1,6607,2608,9215,0.28301682040151926,0.31438448625952914
7,2,7082,2701,9783,0.2760911785750792,0.31670342796352446
7,3,6936,3212,10148,0.3165155695703587,0.3496059861824274
7,4,4827,2047,6874,0.297788769275531,0.29518666070013955
7,5,7732,2741,10473,0.2617206149145422,0.31535029181299246
7,6,5280,1341,6621,0.2025373810602628,0.22531839419844238
8,1,983,118,1101,0.10717529518619437,0.08891486679184346
8,2,770,99,869,0.11392405063291139,0.09071167393563555
8,3,10330,2286,12616,0.1811984781230184,0.2860246681988989
8,4,11009,4051,15060,0.2689907038512616,0.3783170458587364
8,5,6887,1054,7941,0.13272887545649162,0.19310789115063431
8,6,15546,6063,21609,0.2805775371373039,0.4690615774765972
8,7,9551,918,10469,0.08768745820995319,0.19347661105652306
8,8,4489,613,5102,0.12014896119168954,0.1484801140185703
9,1,3384,855,4239,0.20169851380042464,0.19467566894697286
9,2,5996,3042,9038,0.3365788891347643,0.3496445898236755
9,3,4289,1157,5446,0.21244950422328315,0.21743100558079348
9,4,7771,2573,10344,0.2487432327919567,0.30463843253714223
9,5,1830,356,2186,0.16285452881976212,0.14158060624382002
9,6,722,130,852,0.15258215962441316,0.11755784821084425
9,7,6918,1478,8396,0.17603620771796094,0.2291641071791541
10,1,4369,2274,6643,0.3423152190275478,0.32344047162345574
10,2,11081,7257,18338,0.39573563093030867,0.5083995311532349
10,3,8362,5142,13504,0.3807760663507109,0.4369335560013522
10,4,13469,8037,21506,0.3737096624197898,0.5329544352954679
10,5,4098,3288,7386,0.44516653127538586,0.40481139019694234
10,6,1644,570,2214,0.25745257452574527,0.2081525356808077
10,7,10775,4366,15141,0.2883561191466878,0.3928948755964903
11,1,5787,3107,8894,0.3493366314369238,0.35675805115793274
11,2,7831,5799,13630,0.42545854732208366,0.46980113117391076
11,3,9418,6544,15962,0.4099736875078311,0.4883863591828034
11,4,9797,8357,18154,0.4603393191583122,0.5513004440030123
11,5,7650,6987,14637,0.47735191637630664,0.5188325796868332
11,6,10883,5304,16187,0.32767035275220857,0.43361302216207764
11,7,6481,5178,11659,0.44412042199159446,0.45799482702264904
12,1,5196,1642,6838,0.2401286926001755,0.25437036745807706
12,2,3490,1918,5408,0.3546597633136095,0.31649871184307976
12,3,5210,3188,8398,0.3796141938556799,0.37169393300718584
12,4,5145,4377,9522,0.4596723377441714,0.44191700250436544
12,5,6004,5166,11170,0.46248880931065356,0.46468261066281413
12,6,3053,2749,5802,0.473802137194071,0.40486977329022383
12,7,3429,4690,8119,0.5776573469639118,0.5068037835207678
13,1,8486,4907,13393,0.36638542522213097,0.4254595352059627
13,2,10211,11300,21511,0.5253126307470597,0.6391396019536282
