Tipo,Nombre,Latitud,Longitud,lat_num,lon_num
Cercanias Madrid,Fuencarral,40.5015362,-3.6821615,40.5015362,-3.6821615
Metro de Madrid,Metro Tres Olivos,40.5004722,-3.694295,40.5004722,-3.694295
Metro de Madrid,Acceso Calle del Simca,40.3663386,-3.7048087,40.3663386,-3.7048087
Cercanias Madrid,El Goloso,40.5584694,-3.7138301,40.5584694,-3.7138301
Cercanias Madrid,Villaverde Bajo,40.352592,-3.6839811,40.352592,-3.6839811
Cercanias Madrid,Las Aguilas,40.3814589,-3.7803772,40.3814589,-3.7803772
Metro de Madrid,Delicias,40.4004734,-3.6930584,40.4004734,-3.6930584
Metro de Madrid,Mirasierra,40.4909996,-3.716335,40.4909996,-3.716335
Cercanias Madrid,Doce de Octubre,40.3790211,-3.6987395,40.3790211,-3.6987395
Cercanias Madrid,Embajadores,40.4052249,-3.7028935,40.4052249,-3.7028935
Cercanias Madrid,Maestra Justa Freire-Polideportivo Aluche,40.3835465,-3.7686258,40.3835465,-3.7686258
Cercanias Madrid,Laguna,40.3992313,-3.7447243,40.3992313,-3.7447243
Cercanias Madrid,Puente Alcocer,40.3503366,-3.7050198,40.3503366,-3.7050198
Metro de Madrid,Paco de Lucia,40.499669,-3.7090494,40.499669,-3.7090494
Metro de Madrid,Nuevos Ministerios,40.4458416,-3.6916991,40.4458416,-3.6916991
Cercanias Madrid,Recoletos,40.4224959,-3.6917042,40.4224959,-3.6917042
Metro de Madrid,Tetuan,40.4608552,-3.6982259,40.4608552,-3.6982259
Metro de Madrid,Plaza de Castilla,40.4662822,-3.6896636,40.4662822,-3.6896636
Metro de Madrid,Chamartin,40.4739539,-3.6827087,40.4739539,-3.6827087
Metro de Madrid,Bambu,40.4769812,-3.676614,40.4769812,-3.676614
Metro de Madrid,Pinar de Chamartin,40.4800504,-3.6670518,40.4800504,-3.6670518
Metro de Madrid,Valdecarros,40.3599901,-3.5921171,40.3599901,-3.5921171
Metro de Madrid,Las Suertes,40.3635039,-3.5991634,40.3635039,-3.5991634
Metro de Madrid,La Gavia,40.3692681,-3.6126977,40.3692681,-3.6126977
Metro de Madrid,Congosto,40.3721977,-3.6187268,40.3721977,-3.6187268
Metro de Madrid,Villa de Vallecas,40.379394,-3.6212983,40.379394,-3.6212983
Metro de Madrid,Sierra de Guadalupe,40.3825816,-3.6249212,40.3825816,-3.6249212
Metro de Madrid,Miguel Hernandez,40.387548,-3.6400068,40.387548,-3.6400068
Metro de Madrid,Alto del Arenal,40.3900497,-3.6458127,40.3900497,-3.6458127
Metro de Madrid,Buenos Aires,40.3916235,-3.653876,40.3916235,-3.653876
Metro de Madrid,Portazgo,40.3930132,-3.659194,40.3930132,-3.659194
Metro de Madrid,Nueva Numancia,40.395963,-3.6647621,40.395963,-3.6647621
Metro de Madrid,Puente de Vallecas,40.3980926,-3.6689662,40.3980926,-3.6689662
Metro de Madrid,Atocha,40.4069749,-3.6886008,40.4069749,-3.6886008
Metro de Madrid,Estacion del Arte,40.4088389,-3.6914748,40.4088389,-3.6914748
Metro de Madrid,Anton Martin,40.412291,-3.699089,40.412291,-3.699089
Metro de Madrid,Tirso de Molina,40.4123608,-3.7045846,40.4123608,-3.7045846
Metro de Madrid,Gran Via,40.4199123,-3.7016189,40.4199123,-3.7016189
Metro de Madrid,Tribunal,40.4262415,-3.7010942,40.4262415,-3.7010942
Metro de Madrid,Iglesia,40.4352634,-3.6990132,40.4352634,-3.6990132
Metro de Madrid,Rios Rosas,40.4415935,-3.7015924,40.4415935,-3.7015924
Metro de Madrid,Alvarado,40.4500867,-3.7035098,40.4500867,-3.7035098
Metro de Madrid,Sol,40.416938,-3.7033901,40.416938,-3.7033901
Metro de Madrid,Valdeacederas,40.4645262,-3.694999,40.4645262,-3.694999
Metro de Madrid,Estrecho,40.4545136,-3.7027568,40.4545136,-3.7027568
Metro de Madrid,Colombia,40.4571156,-3.6769611,40.4571156,-3.6769611
Metro de Madrid,Pinar del Rey,40.4678284,-3.6486781,40.4678284,-3.6486781
Metro de Madrid,Mar de Cristal,40.4698205,-3.6385808,40.4698205,-3.6385808
Metro de Madrid,Feria de Madrid,40.464,-3.6163088,40.464,-3.6163088
Metro de Madrid,Aeropuerto T1-T2-T3,40.4679143,-3.5717593,40.4679143,-3.5717593
Metro de Madrid,Barajas,40.4758121,-3.5826207,40.4758121,-3.5826207
Metro de Madrid,Aeropuerto T4,40.4924348,-3.5928387,40.4924348,-3.5928387
Metro de Madrid,Manoteras,40.4766992,-3.662679,40.4766992,-3.662679
Metro de Madrid,Hortaleza,40.4747276,-3.652125,40.4747276,-3.652125
Metro de Madrid,Parque de Santa Maria,40.4771257,-3.6456986,40.4771257,-3.6456986
Metro de Madrid,San Lorenzo,40.4745618,-3.6396107,40.4745618,-3.6396107
Metro de Madrid,Canillas,40.4637721,-3.6354426,40.4637721,-3.6354426
Metro de Madrid,Esperanza,40.4592436,-3.6455644,40.4592436,-3.6455644
Metro de Madrid,Arturo Soria,40.455936,-3.6561772,40.455936,-3.6561772
Metro de Madrid,Avenida de la Paz,40.4532165,-3.6621876,40.4532165,-3.6621876
Metro de Madrid,Alfonso XIII,40.4482221,-3.6678923,40.4482221,-3.6678923
Metro de Madrid,Prosperidad,40.4442092,-3.6748514,40.4442092,-3.6748514
Metro de Madrid,Diego De Leon,40.434474,-3.6747205,40.434474,-3.6747205
Metro de Madrid,Lista,40.4293973,-3.6753988,40.4293973,-3.6753988
Metro de Madrid,Goya,40.4246991,-3.6762001,40.4246991,-3.6762001
Metro de Madrid,Velasquez,40.4251769,-3.682539,40.4251769,-3.682539
Metro de Madrid,Serrano,40.4253869,-3.6869007,40.4253869,-3.6869007
Metro de Madrid,Colon,40.4258007,-3.6920413,40.4258007,-3.6920413
Metro de Madrid,Alonso Martinez,40.4274063,-3.695983,40.4274063,-3.695983
Metro de Madrid,San Bernardo,40.4297715,-3.705761,40.4297715,-3.705761
Metro de Madrid,Arguelles,40.4307266,-3.7161715,40.4307266,-3.7161715
Metro de Madrid,Avenida America,40.4376477,-3.6772962,40.4376477,-3.6772962
Metro de Madrid,Casa de Campo,40.4034858,-3.7609309,40.4034858,-3.7609309
Metro de Madrid,Campamento,40.3946832,-3.7682788,40.3946832,-3.7682788
Metro de Madrid,Empalme,40.3907261,-3.765486,40.3907261,-3.765486
Metro de Madrid,Eugenia de Montijo,40.3844157,-3.7510629,40.3844157,-3.7510629
Metro de Madrid,Carabanchel,40.3878172,-3.7449835,40.3878172,-3.7449835
Metro de Madrid,Vista Alegre,40.3887883,-3.7400441,40.3887883,-3.7400441
Metro de Madrid,Oporto,40.3886401,-3.7317242,40.3886401,-3.7317242
Metro de Madrid,Urgel,40.3925341,-3.7253613,40.3925341,-3.7253613
Metro de Madrid,Marques de Vadillo,40.3974458,-3.7164041,40.3974458,-3.7164041
Metro de Madrid,Piramides,40.4020429,-3.7119409,40.4020429,-3.7119409
Metro de Madrid,Acacias,40.4040749,-3.7059572,40.4040749,-3.7059572
Metro de Madrid,Puerta de Toledo,40.4070507,-3.7110664,40.4070507,-3.7110664
Metro de Madrid,La Latina,40.4112911,-3.7083094,40.4112911,-3.7083094
Metro de Madrid,Opera,40.4179827,-3.7094148,40.4179827,-3.7094148
Metro de Madrid,Callao,40.4202937,-3.7059121,40.4202937,-3.7059121
Metro de Madrid,Chueca,40.4226703,-3.6976743,40.4226703,-3.6976743
Metro de Madrid,Ruben Dario,40.4330422,-3.6896897,40.4330422,-3.6896897
Metro de Madrid,Nuñez de Balboa,40.4326416,-3.6795551,40.4326416,-3.6795551
Metro de Madrid,Ventas,40.4310642,-3.6635419,40.4310642,-3.6635419
Metro de Madrid,El Carmen,40.4319699,-3.6561907,40.4319699,-3.6561907
Metro de Madrid,Quintana,40.4331142,-3.6481458,40.4331142,-3.6481458
Metro de Madrid,Pueblo Nuevo,40.4350329,-3.644171,40.4350329,-3.644171
Metro de Madrid,Ciudad Lineal,40.4379315,-3.6377404,40.4379315,-3.6377404
Metro de Madrid,Suanzes,40.4408788,-3.6270164,40.4408788,-3.6270164
Metro de Madrid,Torre Arias,40.443618,-3.6171219,40.443618,-3.6171219
Metro de Madrid,Canillejas,40.4491131,-3.6085862,40.4491131,-3.6085862
Metro de Madrid,El Capricho,40.4533798,-3.5941978,40.4533798,-3.5941978
Metro de Madrid,Alameda de Osuna,40.4575814,-3.5879745,40.4575814,-3.5879745
Metro de Madrid,Moncloa,40.4350196,-3.719236,40.4350196,-3.719236
Metro de Madrid,Ventura Rodriguez,40.4267606,-3.713295,40.4267606,-3.713295
Metro de Madrid,Plaza España,40.423449,-3.7108809,40.423449,-3.7108809
Metro de Madrid,Lavapies,40.4084539,-3.7006613,40.4084539,-3.7006613
Metro de Madrid,Embajadores,40.4048124,-3.7022732,40.4048124,-3.7022732
Metro de Madrid,Palos de la Frontera,40.4030849,-3.6947843,40.4030849,-3.6947843
Metro de Madrid,Delicias,40.3993312,-3.6941225,40.3993312,-3.6941225
Metro de Madrid,Legazpi,40.3914432,-3.6949558,40.3914432,-3.6949558
Metro de Madrid,Almendrales,40.3839505,-3.6980105,40.3839505,-3.6980105
Metro de Madrid,Hospital 12 de Octubre,40.37546,-3.6959057,40.37546,-3.6959057
Metro de Madrid,San Fermin- Orcasur,40.369987,-3.6943864,40.369987,-3.6943864
Metro de Madrid,Ciudad de los Angeles,40.3601741,-3.69343,40.3601741,-3.69343
Metro de Madrid,Villaverde Bajo - Cruce,40.351034,-3.6926258,40.351034,-3.6926258
Metro de Madrid,San Cristobal,40.3416121,-3.6934141,40.3416121,-3.6934141
Metro de Madrid,Cuatro Caminos,40.4467812,-3.7039643,40.4467812,-3.7039643
Metro de Madrid,Canal,40.4386349,-3.704264,40.4386349,-3.704264
Metro de Madrid,Quevedo,40.4331809,-3.7044934,40.4331809,-3.7044934
Metro de Madrid,Noviciado,40.4247733,-3.7073851,40.4247733,-3.7073851
Metro de Madrid,Santo Domingo,40.4204264,-3.7085723,40.4204264,-3.7085723
Metro de Madrid,Sevilla,40.4177659,-3.6999453,40.4177659,-3.6999453
Metro de Madrid,Banco de España,40.4190548,-3.6949256,40.4190548,-3.6949256
Metro de Madrid,Retiro,40.4204626,-3.6864269,40.4204626,-3.6864269
Metro de Madrid,Principe de Vergara,40.4226491,-3.6803686,40.4226491,-3.6803686
Metro de Madrid,Manuel Becerra,40.4281432,-3.6687107,40.4281432,-3.6687107
Metro de Madrid,La Almudena,40.4231715,-3.6382552,40.4231715,-3.6382552
Metro de Madrid,Alsacia,40.4182411,-3.6237899,40.4182411,-3.6237899
Metro de Madrid,Avenida de Guadalajara,40.422449,-3.6122237,40.422449,-3.6122237
Metro de Madrid,La Elipa,40.4269992,-3.6494651,40.4269992,-3.6494651
Metro de Madrid,Estadio Metropolitano,40.4337998,-3.600962,40.4337998,-3.600962
Metro de Madrid,Las Musas,40.4325722,-3.6078503,40.4325722,-3.6078503
Metro de Madrid,San Blas,40.4275001,-3.615954,40.4275001,-3.615954
Metro de Madrid,Simancas,40.4275549,-3.6229906,40.4275549,-3.6229906
Metro de Madrid,Garcia Noblejas,40.4286476,-3.6328626,40.4286476,-3.6328626
Metro de Madrid,Ascao,40.4303119,-3.6404493,40.4303119,-3.6404493
Metro de Madrid,Barrio de la Concepción,40.4393659,-3.6520984,40.4393659,-3.6520984
Metro de Madrid,Parque de las Avenidas,40.4393064,-3.6629009,40.4393064,-3.6629009
Metro de Madrid,Cartagena,40.4393935,-3.6717961,40.4393935,-3.6717961
Metro de Madrid,Gregorio Marañon,40.4379941,-3.6912127,40.4379941,-3.6912127
Metro de Madrid,Alonso Cano,40.4384455,-3.6992576,40.4384455,-3.6992576
Metro de Madrid,Islas Filipinas,40.4390433,-3.7139784,40.4390433,-3.7139784
Metro de Madrid,Guzman el Bueno,40.4462739,-3.7131693,40.4462739,-3.7131693
Metro de Madrid,Francos Rodriguez,40.4566118,-3.7121114,40.4566118,-3.7121114
Metro de Madrid,Valdezarza,40.4649188,-3.7165189,40.4649188,-3.7165189
Metro de Madrid,Antonio Machado,40.4701887,-3.7178808,40.4701887,-3.7178808
Metro de Madrid,Peñagrande,40.4759519,-3.7160518,40.4759519,-3.7160518
Metro de Madrid,Avenida de la Ilustracion,40.4800441,-3.7183065,40.4800441,-3.7183065
Metro de Madrid,Lacoma,40.4851113,-3.7231023,40.4851113,-3.7231023
Metro de Madrid,Principe Pio,40.4209619,-3.7193334,40.4209619,-3.7193334
Metro de Madrid,Villaverde Alto,40.3410325,-3.7117691,40.3410325,-3.7117691
Metro de Madrid,Laguna,40.3993048,-3.7446368,40.3993048,-3.7446368
Metro de Madrid,Lucero,40.4048009,-3.7452693,40.4048009,-3.7452693
Metro de Madrid,Alto de Extremadura,40.4099947,-3.7384073,40.4099947,-3.7384073
Metro de Madrid,Puerta del Angel,40.4138284,-3.7271312,40.4138284,-3.7271312
Metro de Madrid,Ciudad Universitaria,40.4438005,-3.7264206,40.4438005,-3.7264206
Metro de Madrid,Vicente Aleixandre,40.446506,-3.7190437,40.446506,-3.7190437
Metro de Madrid,Republica Argentina,40.4443179,-3.6846392,40.4443179,-3.6846392
Metro de Madrid,O'Donnell,40.422202,-3.6690629,40.422202,-3.6690629
Metro de Madrid,Sainz de Baranda,40.4143958,-3.6696729,40.4143958,-3.6696729
Metro de Madrid,Mendez Alvaro,40.395717,-3.6801095,40.395717,-3.6801095
Metro de Madrid,Arganzuela-Planetario,40.3932319,-3.6884132,40.3932319,-3.6884132
Metro de Madrid,Usera,40.3880344,-3.7056039,40.3880344,-3.7056039
Metro de Madrid,Plaza Eliptica,40.3853557,-3.7178747,40.3853557,-3.7178747
Metro de Madrid,Opañel,40.3869292,-3.7231777,40.3869292,-3.7231777
Metro de Madrid,Carpetana,40.3929166,-3.7409821,40.3929166,-3.7409821
Metro de Madrid,Abrantes,40.3809981,-3.7279849,40.3809981,-3.7279849
Metro de Madrid,Pan Bendito,40.3761821,-3.7341933,40.3761821,-3.7341933
Metro de Madrid,San Francisco,40.3736594,-3.7397923,40.3736594,-3.7397923
Metro de Madrid,Carabanchel Alto,40.3718832,-3.7517535,40.3718832,-3.7517535
Metro de Madrid,La Peseta,40.3630249,-3.7574077,40.3630249,-3.7574077
Metro de Madrid,Arroyofresno,40.4906807,-3.7259989,40.4906807,-3.7259989
Metro de Madrid,Duque de Pastrana,40.4674764,-3.6805854,40.4674764,-3.6805854
Metro de Madrid,Ventilla,40.4698213,-3.696293,40.4698213,-3.696293
Metro de Madrid,Barrio del Pilar,40.4770471,-3.7035391,40.4770471,-3.7035391
Metro de Madrid,Herrera Oria,40.4846027,-3.7080099,40.4846027,-3.7080099
Metro de Madrid,Mirasierra,40.4910429,-3.7165397,40.4910429,-3.7165397
Metro de Madrid,Pavones,40.4005425,-3.6352111,40.4005425,-3.6352111
Metro de Madrid,Artilleros,40.4052627,-3.6418518,40.4052627,-3.6418518
Metro de Madrid,Vinateros,40.4103313,-3.6525288,40.4103313,-3.6525288
Metro de Madrid,Estrella,40.4112849,-3.661347,40.4112849,-3.661347
Metro de Madrid,Cruz del Rayo,40.4444834,-3.6784632,40.4444834,-3.6784632
Metro de Madrid,Ibiza,40.4183658,-3.6781374,40.4183658,-3.6781374
Metro de Madrid,Concha Espina,40.4513295,-3.6776079,40.4513295,-3.6776079
Metro de Madrid,Pio XII,40.4618018,-3.6765305,40.4618018,-3.6765305
Metro de Madrid,Puerta de Arganda,40.4012423,-3.5957286,40.4012423,-3.5957286
Metro de Madrid,San Cipriano,40.4039851,-3.6035493,40.4039851,-3.6035493
Metro de Madrid,Vicalvaro,40.4042034,-3.6088938,40.4042034,-3.6088938
Metro de Madrid,Valdebernardo,40.3999118,-3.621522,40.3999118,-3.621522
Metro de Madrid,Lago,40.4165076,-3.7348806,40.4165076,-3.7348806
Metro de Madrid,Santiago Bernabeu,40.4523667,-3.6907254,40.4523667,-3.6907254
Metro de Madrid,Cuzco,40.4594841,-3.6900166,40.4594841,-3.6900166
Metro de Madrid,Begoña,40.4834526,-3.6869037,40.4834526,-3.6869037
Metro de Madrid,Fuencarral,40.4947348,-3.6930692,40.4947348,-3.6930692
Metro de Madrid,Tres Olivos,40.500966,-3.6946891,40.500966,-3.6946891
Metro de Madrid,Montecarmelo,40.5053359,-3.6959917,40.5053359,-3.6959917
