full_id,osm_id,osm_type,railway,bus,natural,email,monorail,iata,highway,description,addr:housenumber,railway:ref,usage,source_url,indoor,emergency,defibrillator:location,bicycle,location,check_date:wheelchair,source:name,contact:url,name:pt,colour,type,name:es,name:ar,toilets:wheelchair,wheelchair:description,alt_name,light_rail,nohousenumber,addr:street,intercambiador,subway,station,layer,covered,old_name,ref,fare_zone,door,access,wikimedia_commons,internet_access,fare_area,addr:postcode,addr:city,level,entrance,wheelchair,wikipedia,wikidata,website,url,train,public_transport,platforms,operator:wikidata,operator,network:wikidata,network,name,contact:website
n79715911,"79715911",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es:Estación de Fuencarral (Cercanías Madrid),Q8779819,https://www.adif.es/-/17001-fuencarral,https://www.crtm.es/tu-transporte-publico/cercanias-renfe/estaciones/5_31,yes,station,"2",Q2476154,Renfe,Q1054785,Cercanías Madrid,Fuencarral,http://www.citram.es/HORARIOS/info.aspx?estacion=5_31
n354942331,"354942331",node,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,Metro Tres Olivos,
n390964073,"390964073",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",main,yes,,,,,,,,,,,,Acceso Calle del Simca,
n845763449,"845763449",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,https://www.adif.es/-/17003-el-goloso,https://www.crtm.es/tu-transporte-publico/cercanias-renfe/estaciones/5_37,yes,station,,Q2476154,Renfe,Q1054785,Cercanías Madrid,El Goloso,http://www.citram.es/HORARIOS/info.aspx?estacion=5_37
n1152895181,"1152895181",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,A,"28021",Madrid,,,limited,es:Estación de Villaverde Bajo,Q2560615,https://www.adif.es/w/60100-villaverde-bajo,https://www.crtm.es/tu-transporte-publico/cercanias-renfe/estaciones/5_93,yes,station,,Q2476154,Renfe,Q1054785,Cercanías Madrid,Villaverde Bajo,https://www.citram.es/HORARIOS/info.aspx?estacion=5_93
n1534461496,"1534461496",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File:Estación Las Aguilas 1.jpg,,,,,,,,es:Estación de Las Águilas,Q5846576,https://www.adif.es/-/35602-las-%C3%81guilas,https://www.crtm.es/tu-transporte-publico/cercanias-renfe/estaciones/5_1,yes,station,,Q2476154,Renfe,Q1054785,Cercanías Madrid,Las Águilas,http://www.citram.es/HORARIOS/info.aspx?estacion=5_1
n2119739541,"2119739541",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hinged,yes,,,,,,,main,,,,,,,,,,,,,,
n2529914501,"2529914501",node,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q191987,Metro de Madrid,Mirasierra,
n2609596171,"2609596171",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35702",A,,,,,,,,,,no,es:Estación de Doce de Octubre,Q5846116,https://www.adif.es/w/35702-doce-octubre,https://www.crtm.es/tu-transporte-publico/cercanias-renfe/estaciones/5_26,yes,station,,Q2476154,Renfe,Q1054785,Cercanías Madrid,Doce de Octubre,https://www.citram.es/HORARIOS/info.aspx?estacion=5_26
n2609596185,"2609596185",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,https://www.adif.es/-/35609-embajadores,https://www.crtm.es/tu-transporte-publico/cercanias-renfe/estaciones/5_28,yes,station,,Q2476154,Renfe,Q1054785,Cercanías Madrid,Embajadores,http://www.citram.es/HORARIOS/info.aspx?estacion=5_28
n2609596192,"2609596192",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fanjul,"35601",,,,,,,,,,,no,es:Estación de Maestra Justa Freire-Polideportivo Aluche,Q5846227,https://www.adif.es/w/35601-m.justa-freire-p.a.,https://www.crtm.es/tu-transporte-publico/cercanias-renfe/estaciones/5_30,yes,station,,Q2476154,Renfe,Q1054785,Cercanías Madrid,Maestra Justa Freire-Polideportivo Aluche,http://www.citram.es/HORARIOS/info.aspx?estacion=5_30
n2609596200,"2609596200",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,https://www.adif.es/w/35608-laguna,https://www.crtm.es/tu-transporte-publico/cercanias-renfe/estaciones/5_40.aspx,yes,station,,Q2476154,Renfe,Q1054785,Cercanías Madrid,Laguna,http://www.citram.es/HORARIOS/info.aspx?estacion=5_40
n2609596207,"2609596207",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35704",,,,,,,,,,,no,es:Estación de Puente Alcocer,Q5846980,https://www.adif.es/-/35704-puente-alcocer,https://www.crtm.es/tu-transporte-publico/cercanias-renfe/estaciones/5_62,yes,station,,Q2476154,Renfe,Q1054785,Cercanías Madrid,Puente Alcocer,https://www.citram.es/HORARIOS/info.aspx?estacion=5_62
n3835419267,"3835419267",node,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,Q191987,Metro de Madrid,,
n4998670036,"4998670036",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,"1",yes,,,,,,,,A,,Madrid,,,yes,es:Estación de Nuevos Ministerios,Q2705508,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-618,http://www.citram.es/HORARIOS/info.aspx?estacion=4_120,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Nuevos Ministerios,
n4999319356,"4999319356",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es:Estación de Recoletos,Q8841582,https://www.adif.es/w/18001-recoletos,https://www.crtm.es/tu-transporte-publico/cercanias-renfe/estaciones/5_65.aspx,yes,station,,Q2476154,Renfe,Q1054785,Cercanías Madrid,Recoletos,http://www.citram.es/HORARIOS/info.aspx?estacion=5_65
n5299261414,"5299261414",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,,,,,,,,,,,,,,no,es:Estación de Tetuán (Metro de Madrid),Q515413,https://www.metromadrid.es/es/linea/linea-1#estacion-103,http://www.citram.es/HORARIOS/info.aspx?estacion=4_3,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Tetuán,
n5299262123,"5299262123",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plaza de Castilla,yes,subway,,yes,,,,,,,,A,,Madrid,,,yes,es:Estación de Plaza de Castilla,Q2463399,https://www.metromadrid.es/es/linea/linea-1#estacion-101,http://www.citram.es/HORARIOS/info.aspx?estacion=4_190,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Plaza de Castilla,https://www.crtm.es/widgets/#/stop/4_190
n5299262124,"5299262124",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Calle de Agustín de Foxá,,yes,subway,,,,,,,,,,A,"28036",Madrid,,,yes,es:Estación de Madrid-Chamartín-Clara Campoamor,Q23081,https://www.metromadrid.es/es/linea/linea-1#estacion-151,http://www.citram.es/HORARIOS/info.aspx?estacion=4_261,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Chamartín,
n5299262125,"5299262125",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,,,,,,,,,,,,,,,es:Estación de Bambú,Q2244021,https://www.metromadrid.es/es/linea/linea-1#estacion-152,http://www.citram.es/HORARIOS/info.aspx?estacion=4_262,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Bambú,
n5299262126,"5299262126",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,subway,,,,,,,,,,A,,,,,,es:Estación de Pinar de Chamartín,Q921800,https://www.metromadrid.es/es/linea/linea-4#estacion-153,http://www.citram.es/HORARIOS/info.aspx?estacion=4_263,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Pinar de Chamartín,
n5299314561,"5299314561",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,,,,,,,,,A,,,,,yes,es:Estación de Valdecarros,Q667797,https://www.metromadrid.es/es/linea/linea-1#estacion-130,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Valdecarros,
n5299314562,"5299314562",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,,,,,,,,,A,,,,,yes,es:Estación de Las Suertes,Q3827256,https://www.metromadrid.es/es/linea/linea-1#estacion-129,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Las Suertes,
n5299314563,"5299314563",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q191987,Metro de Madrid,,
n5299314564,"5299314564",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,,,,,,,,,A,,,,,yes,es:Estación de Congosto,Q934059,https://www.metromadrid.es/es/linea/linea-1#estacion-127,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Congosto,
n5299314565,"5299314565",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,,,,,,,,,A,,,,,yes,es:Estación de Villa de Vallecas,Q630441,https://www.metromadrid.es/es/linea/linea-1#estacion-126,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Villa de Vallecas,
n5299314566,"5299314566",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,,,,,,,,,A,,,,,yes,es:Estación de Sierra de Guadalupe,Q2479478,https://www.metromadrid.es/es/linea/linea-1#estacion-125,https://www.crtm.es/tu-transporte-publico/metro/estaciones/4_25,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Sierra de Guadalupe,http://www.citram.es/HORARIOS/info.aspx?estacion=4_25
n5299314567,"5299314567",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,,,,,,,,,A,,,,,,es:Estación de Miguel Hernández,Q2479837,https://www.metromadrid.es/es/linea/linea-1#estacion-124,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Miguel Hernández,
