nombre;latitud;longitud;direccion;valoracion;reseñas_total;nivel_precio;sitio_web;url_maps;distrito_encontrado
El Rey de los Tacos;40.4194113;-3.7096198;Cuesta de Sto. Domingo, 8, Centro, 28013 Madrid, Spain;47;10214;€;http://elreydelostacos.top/;https://maps.google.com/?cid=5658052855678566982;Centro
Takos Al Pastor;40.4192816;-3.7034366;C. de la Salud, 13, Centro, 28013 Madrid, Spain;45;14487;€;https://takos-al-pastor.site/;https://maps.google.com/?cid=5861125246067077258;Centro
Cantina Canalla Centro - Restaurante Mexicano;40.418318;-3.7073382;Pl. de San Martín, 2, Centro, 28013 Madrid, Spain;46;7768;€;https://www.cantinacanalla.com/;https://maps.google.com/?cid=1955752499444340872;Centro
Primo restaurant;40.4164744;-3.6991673;Cra de S. Jerónimo, 32, Centro, 28014 Madrid, Spain;48;3712;€€;http://www.primotaqueria.com/;https://maps.google.com/?cid=528636930778283272;Centro
Taquería Tacoctelería : Restaurante Mexicano y Coctelería en Malasaña;40.4210382;-3.7021806;C. de Valverde, 7, Centro, 28004 Madrid, Spain;47;3161;N/D;https://tacocteleria.com/reservas/.;https://maps.google.com/?cid=3116741849356835920;Centro
El Rey de los Tacos;40.4215294;-3.7092916;C. de Isabel la Católica, 13, Centro, 28013 Madrid, Spain;48;10091;€;http://elreydelostacos.top/;https://maps.google.com/?cid=4083618082451455682;Centro
La Venganza De Malinche | Restaurante Mexicano | Sol;40.4189893;-3.7013529;C. de los Jardines, 5, Centro, 28013 Madrid, Spain;43;2760;€€;http://www.venganzamalinche.com/;https://maps.google.com/?cid=10077180072351130018;Centro
Ay! Rosa Restaurante Madrid;40.4138325;-3.6990401;C. del León, 16, Centro, 28014 Madrid, Spain;43;2552;€;http://ayrosarestaurante.com/;https://maps.google.com/?cid=10149965160761835753;Centro
Entre Suspiro Y Suspiro | Mexicano Madrid;40.4186859;-3.7090349;C. de los Caños del Peral, 3, Centro, 28013 Madrid, Spain;45;1125;€€€;http://entresuspiroysuspiro.com/?utm_source=GMB&utm_medium=gmb&utm_campaign=gmb&utm_id=web;https://maps.google.com/?cid=1162534095536418402;Centro
La Mordida;40.4138641;-3.710948;Trav. del Conde, 4, Centro, 28005 Madrid, Spain;44;2850;€€;http://www.lamordida.com/;https://maps.google.com/?cid=13243870868832101757;Centro
Ticuí l Mexican Restaurant Madrid;40.4174397;-3.6985701;C. de Cedaceros, 6, Centro, 28014 Madrid, Spain;47;513;N/D;https://www.ticui.es/?utm_source=google&utm_medium=GMB;https://maps.google.com/?cid=10705329478622999765;Centro
La Mordida;40.4169643;-3.7088054;C. de las Fuentes, 3, Centro, 28013 Madrid, Spain;44;5108;€€;http://www.lamordida.com/;https://maps.google.com/?cid=8907237490692948127;Centro
Taqueria El Chaparrito;40.4156753;-3.7101377;C. Mayor, 68, Centro, 28013 Madrid, Spain;45;2609;€;https://www.restauranteschaparritos.com/elchaparritomayor/;https://maps.google.com/?cid=17120074461443755774;Centro
Solito Mexican Taqueria;40.4131772;-3.7106564;C. del Príncipe de Anglona, 1, Centro, 28005 Madrid, Spain;47;1243;N/D;https://solitotaqueria.com/;https://maps.google.com/?cid=4495310507301390259;Centro
La Cochinita Loca;40.4208536;-3.7102046;C. de Torija, 10, Centro, 28013 Madrid, Spain;45;5101;€€;http://www.lacochinitaloca.com/;https://maps.google.com/?cid=10485501910718099877;Centro
Mexcalista;40.4145052;-3.698565;C. del León, 5, Centro, 28014 Madrid, Spain;45;1109;N/D;https://www.mexcalista.es/;https://maps.google.com/?cid=6113915212437627818;Centro
MAWEY Taco Bar - Gran Vía;40.4210653;-3.7084063;C. de San Bernardo, 5, Local 2, Centro, 28013 Madrid, Spain;45;1677;€€;http://www.restaurantemawey.com/;https://maps.google.com/?cid=2295477652204820178;Centro
El rey de los tacos | Restaurante mexicano Madrid;40.4205663;-3.7007993;C/ de Hortaleza, 4, Centro, 28004 Madrid, Spain;48;3267;N/D;http://elreydelostacos.top/;https://maps.google.com/?cid=5215243848734246214;Centro
Barracuda l Restaurante Mexicano Madrid;40.4190267;-3.6892853;C. de Valenzuela, 7, Retiro, 28014 Madrid, Spain;43;1569;N/D;https://barracudamx.es/?utm_source=gmb&utm_medium=gmb&utm_campaign=web;https://maps.google.com/?cid=2910623606212047775;Centro
Taquería Mi Ciudad;40.4174005;-3.7087072;C. de las Fuentes, 11, Centro, 28013 Madrid, Spain;44;1846;€;http://www.taqueriamiciudad.com/;https://maps.google.com/?cid=7911695875158706147;Centro
TACOLETOS;40.4162563;-3.7004596;C. del Príncipe, 4, Centro, 28012 Madrid, Spain;47;727;N/D;https://www.instagram.com/tacoletos;https://maps.google.com/?cid=10057840258030228313;Centro
El Chaparrito;40.4155199;-3.6988965;C. de Ventura de la Vega, 11, Centro, 28014 Madrid, Spain;44;2040;€;http://www.restauranteschaparritos.com/;https://maps.google.com/?cid=5808300734363659967;Centro
La Mordida;40.4244135;-3.6959487;C. de Belén, 13, Centro, 28004 Madrid, Spain;44;2753;€€;http://www.lamordida.com/;https://maps.google.com/?cid=8966942106130644378;Centro
Benditos Sueños;40.4251661;-3.7105162;C. de San Bernardino, 7, Centro, 28015 Madrid, Spain;47;1064;N/D;http://www.benditossueños.com/;https://maps.google.com/?cid=9506087632007753057;Centro
